z,x,y,chunk,stem,class
504,3264.0,7104.0,z0480-0528,018008,dark-laminar
24,3648.0,3264.0,z0000-0048,008009,dark-laminar
168,10560.0,5952.0,z0144-0192,015027,dark-laminar
504,2880.0,7104.0,z0480-0528,018007,dark-laminar
456,1728.0,3264.0,z0432-0480,008004,dark-laminar
600,3648.0,1728.0,z0576-0624,004009,dark-laminar
24,5184.0,6336.0,z0000-0048,016013,dark-laminar
648,2880.0,7104.0,z0624-0672,018007,dark-laminar
744,4416.0,4416.0,z0720-0768,011011,dark-laminar
120,10944.0,2880.0,z0096-0144,007028,dark-laminar
24,4800.0,3264.0,z0000-0048,008012,dark-laminar
216,2496.0,2496.0,z0192-0240,006006,dark-laminar
72,8640.0,7104.0,z0048-0096,018022,dense-speckle
72,4800.0,7104.0,z0048-0096,018012,dense-speckle
72,7488.0,7104.0,z0048-0096,018019,dense-speckle
72,7872.0,7104.0,z0048-0096,018020,dense-speckle
24,8256.0,7104.0,z0000-0048,018021,dense-speckle
24,7488.0,7104.0,z0000-0048,018019,dense-speckle
120,4416.0,7104.0,z0096-0144,018011,dense-speckle
696,5184.0,8256.0,z0672-0720,021013,dense-speckle
360,2496.0,4416.0,z0336-0384,011006,dense-speckle
552,11328.0,4032.0,z0528-0576,010029,dense-speckle
504,11328.0,4032.0,z0480-0528,010029,dense-speckle
408,2496.0,4032.0,z0384-0432,010006,dense-speckle
456,10560.0,2112.0,z0432-0480,005027,dense-speckle
408,3648.0,6720.0,z0384-0432,017009,dense-speckle
504,2880.0,4416.0,z0480-0528,011007,dense-speckle
456,2496.0,6336.0,z0432-0480,016006,dense-speckle
552,9408.0,960.0,z0528-0576,002024,dense-speckle
600,2112.0,6336.0,z0576-0624,016005,dense-speckle
456,2496.0,4032.0,z0432-0480,010006,dense-speckle
504,2496.0,6336.0,z0480-0528,016006,dense-speckle
696,6336.0,8256.0,z0672-0720,021016,dense-speckle
552,10176.0,2112.0,z0528-0576,005026,dense-speckle
696,3648.0,4032.0,z0672-0720,010009,dense-speckle
360,2496.0,4032.0,z0336-0384,010006,dense-speckle
168,4032.0,7104.0,z0144-0192,018010,dense-speckle
744,3648.0,5184.0,z0720-0768,013009,dim-speckle
168,7872.0,5568.0,z0144-0192,014020,dim-speckle
168,4800.0,7104.0,z0144-0192,018012,dim-speckle
456,10560.0,4416.0,z0432-0480,011027,dim-speckle
456,1344.0,3648.0,z0432-0480,009003,dim-speckle
552,3264.0,4800.0,z0528-0576,012008,dim-speckle
504,5184.0,3264.0,z0480-0528,008013,dim-speckle
168,5568.0,2880.0,z0144-0192,007014,dim-speckle
600,4416.0,7104.0,z0576-0624,018011,dim-speckle
744,9408.0,3648.0,z0720-0768,009024,dim-speckle
552,11328.0,192.0,z0528-0576,000029,dim-speckle
264,7872.0,2112.0,z0240-0288,005020,dim-speckle
216,9024.0,4800.0,z0192-0240,012023,dim-speckle
552,11712.0,1728.0,z0528-0576,004030,dim-speckle
264,9024.0,4032.0,z0240-0288,010023,dim-speckle
360,10560.0,1344.0,z0336-0384,003027,dim-speckle
504,3264.0,4416.0,z0480-0528,011008,dim-speckle
744,4800.0,2112.0,z0720-0768,005012,dim-speckle
504,5568.0,1728.0,z0480-0528,004014,dim-speckle
744,9024.0,3648.0,z0720-0768,009023,dim-speckle
648,3648.0,5184.0,z0624-0672,013009,dim-speckle
360,5568.0,6720.0,z0336-0384,017014,dim-speckle
504,4032.0,5184.0,z0480-0528,013010,dim-speckle
312,7488.0,6336.0,z0288-0336,016019,dim-speckle
552,10944.0,960.0,z0528-0576,002028,dim-speckle
456,8256.0,7488.0,z0432-0480,019021,granule-field
264,10176.0,2496.0,z0240-0288,006026,granule-field
120,6336.0,6336.0,z0096-0144,016016,granule-field
648,8640.0,6720.0,z0624-0672,017022,granule-field
696,11328.0,2496.0,z0672-0720,006029,granule-field
696,11712.0,4032.0,z0672-0720,010030,granule-field
600,9408.0,2496.0,z0576-0624,006024,granule-field
744,10560.0,2496.0,z0720-0768,006027,granule-field
744,10560.0,2880.0,z0720-0768,007027,granule-field
456,7488.0,4416.0,z0432-0480,011019,granule-field
168,5952.0,2496.0,z0144-0192,006015,granule-field
744,9792.0,2496.0,z0720-0768,006025,granule-field
744,10176.0,2496.0,z0720-0768,006026,granule-field
648,10176.0,2496.0,z0624-0672,006026,granule-field
408,11328.0,2496.0,z0384-0432,006029,granule-field
456,7488.0,7872.0,z0432-0480,020019,granule-field
552,10176.0,2880.0,z0528-0576,007026,granule-field
408,11712.0,2880.0,z0384-0432,007030,granule-field
168,6720.0,2112.0,z0144-0192,005017,granule-field
600,9792.0,2880.0,z0576-0624,007025,granule-field
648,8256.0,2496.0,z0624-0672,006021,granule-field
312,9024.0,7488.0,z0288-0336,019023,granule-field
600,8640.0,6720.0,z0576-0624,017022,granule-field
216,4032.0,6720.0,z0192-0240,017010,granule-field
648,9408.0,2880.0,z0624-0672,007024,granule-field
72,4416.0,2880.0,z0048-0096,007011,noisy-arcs
120,4416.0,2880.0,z0096-0144,007011,noisy-arcs
72,9024.0,1728.0,z0048-0096,004023,noisy-arcs
792,3264.0,5184.0,z0768-0816,013008,noisy-arcs
312,3648.0,8256.0,z0288-0336,021009,noisy-arcs
648,7872.0,1344.0,z0624-0672,003020,noisy-arcs
120,9024.0,1728.0,z0096-0144,004023,noisy-arcs
120,4800.0,7488.0,z0096-0144,019012,noisy-arcs
744,4032.0,7488.0,z0720-0768,019010,noisy-arcs
216,4416.0,2496.0,z0192-0240,006011,noisy-arcs
168,5568.0,1728.0,z0144-0192,004014,noisy-arcs
120,4800.0,2112.0,z0096-0144,005012,noisy-arcs
24,3648.0,1728.0,z0000-0048,004009,noisy-arcs
24,9408.0,1728.0,z0000-0048,004024,noisy-arcs
72,9024.0,2496.0,z0048-0096,006023,noisy-arcs
792,7872.0,3264.0,z0768-0816,008020,noisy-arcs
24,9024.0,2112.0,z0000-0048,005023,noisy-arcs
24,3648.0,2880.0,z0000-0048,007009,noisy-arcs
168,4416.0,2880.0,z0144-0192,007011,noisy-arcs
72,5952.0,1728.0,z0048-0096,004015,noisy-arcs
792,10176.0,5184.0,z0768-0816,013026,noisy-arcs
792,4032.0,5184.0,z0768-0816,013010,noisy-arcs
600,2496.0,960.0,z0576-0624,002006,noisy-arcs
696,5952.0,1728.0,z0672-0720,004015,noisy-arcs
744,5952.0,1728.0,z0720-0768,004015,noisy-arcs
456,4800.0,5952.0,z0432-0480,015012,punctate
456,4416.0,6720.0,z0432-0480,017011,punctate
408,10176.0,6336.0,z0384-0432,016026,punctate
264,6720.0,5952.0,z0240-0288,015017,punctate
600,5568.0,5952.0,z0576-0624,015014,punctate
504,4416.0,6720.0,z0480-0528,017011,punctate
408,9792.0,4800.0,z0384-0432,012025,punctate
504,9408.0,4800.0,z0480-0528,012024,punctate
552,5568.0,7872.0,z0528-0576,020014,punctate
456,9792.0,5184.0,z0432-0480,013025,punctate
456,9408.0,6720.0,z0432-0480,017024,punctate
504,9792.0,4800.0,z0480-0528,012025,punctate
504,10176.0,4032.0,z0480-0528,010026,punctate
312,10176.0,6336.0,z0288-0336,016026,punctate
264,8640.0,7104.0,z0240-0288,018022,punctate
552,5184.0,4416.0,z0528-0576,011013,punctate
264,9408.0,6336.0,z0240-0288,016024,punctate
216,8256.0,5952.0,z0192-0240,015021,punctate
408,9408.0,6720.0,z0384-0432,017024,punctate
360,5568.0,7872.0,z0336-0384,020014,punctate
312,9408.0,6336.0,z0288-0336,016024,punctate
408,5952.0,7872.0,z0384-0432,020015,punctate
552,4800.0,4416.0,z0528-0576,011012,punctate
552,8256.0,3648.0,z0528-0576,009021,punctate
216,9792.0,4416.0,z0192-0240,011025,punctate
72,5568.0,4032.0,z0048-0096,010014,wispy-diffuse
312,4800.0,4032.0,z0288-0336,010012,wispy-diffuse
72,5184.0,5568.0,z0048-0096,014013,wispy-diffuse
120,4032.0,5568.0,z0096-0144,014010,wispy-diffuse
120,4800.0,5568.0,z0096-0144,014012,wispy-diffuse
216,4032.0,4800.0,z0192-0240,012010,wispy-diffuse
264,4032.0,4416.0,z0240-0288,011010,wispy-diffuse
72,5952.0,3648.0,z0048-0096,009015,wispy-diffuse
312,6336.0,1728.0,z0288-0336,004016,wispy-diffuse
408,7488.0,5952.0,z0384-0432,015019,wispy-diffuse
216,3648.0,6336.0,z0192-0240,016009,wispy-diffuse
504,4416.0,5568.0,z0480-0528,014011,wispy-diffuse
216,4800.0,3648.0,z0192-0240,009012,wispy-diffuse
360,4416.0,4416.0,z0336-0384,011011,wispy-diffuse
312,4800.0,3648.0,z0288-0336,009012,wispy-diffuse
264,3648.0,4032.0,z0240-0288,010009,wispy-diffuse
168,3648.0,4800.0,z0144-0192,012009,wispy-diffuse
648,4032.0,6720.0,z0624-0672,017010,wispy-diffuse
648,4416.0,7104.0,z0624-0672,018011,wispy-diffuse
696,5184.0,3648.0,z0672-0720,009013,wispy-diffuse
312,2112.0,6720.0,z0288-0336,017005,wispy-diffuse
24,5184.0,4032.0,z0000-0048,010013,wispy-diffuse
456,4416.0,3264.0,z0432-0480,008011,wispy-diffuse
120,3648.0,5568.0,z0096-0144,014009,wispy-diffuse
216,4800.0,7488.0,z0192-0240,019012,wispy-diffuse
